id;question;A;B;C;D;reponse
75;Qu'est-ce qu'une boucle infinie?;Une boucle qui s'exécute sans fin;Une boucle avec un nombre de répétitions fixe;Une boucle qui ne s'exécute jamais;Une boucle qui s'arrête automatiquement;A;
86;Dans un arbre binaire de recherche, où se trouve le nœud avec la plus petite valeur?;À la racine;À l'extrémité droite;À l'extrémité gauche;Au milieu;C;
89;Quel est le rôle d'un nœud parent dans un arbre binaire?;Il n'a pas d'enfants;Il a des enfants;Il est au sommet de l'arbre;Il est à la base de l'arbre;B;
90;Qu'est-ce qu'un sous-arbre gauche dans un arbre binaire?;L'arbre complet;L'arbre à gauche de la racine;L'arbre à droite de la racine;Un arbre sans nœud racine;B;
96;Quelle opération dans un arbre binaire consiste à ajouter un nouveau nœud en respectant l'ordre des valeurs?;Recherche;Suppression;Insertion;Parcours;C;
101;Qu'est-ce qu'un graphe en informatique?;Un ensemble de points connectés par des lignes;Un type de tableau;Un algorithme de tri;Une méthode de recherche;A;
102;Comment appelle-t-on les points d'un graphe?;Arêtes;Nœuds (ou sommets);Boucles;Chemins;B;
103;Comment appelle-t-on les lignes qui relient les points dans un graphe?;Nœuds (ou sommets);Boucles;Arêtes;Chemins;C;
104;Qu'est-ce qu'un graphe orienté?;Un graphe avec des arêtes bidirectionnelles;Un graphe avec des arêtes unidirectionnelles;Un graphe sans arêtes;Un graphe avec des arêtes non pondérées;B;
105;Qu'est-ce qu'un graphe non orienté?;Un graphe avec des arêtes bidirectionnelles;Un graphe avec des arêtes unidirectionnelles;Un graphe sans arêtes;Un graphe avec des arêtes pondérées;A;
109;Qu'est-ce qu'un graphe complet?;Un graphe où tous les nœuds sont connectés directement les uns aux autres;Un graphe sans arêtes;Un graphe avec une seule arête;Un graphe avec des arêtes unidirectionnelles;A;
111;Dans un graphe, qu'est-ce qu'un chemin?;Une séquence d'arêtes reliant une séquence de nœuds;Un nœud sans arêtes;Un ensemble de nœuds non connectés;Une boucle infinie;A;
113;Qu'est-ce qu'un graphe pondéré?;Un graphe où chaque arête a une valeur (poids);Un graphe sans arêtes;Un graphe avec des arêtes bidirectionnelles;Un graphe avec des boucles;A;
116;Dans un graphe, qu'est-ce qu'un cycle?;Un chemin qui revient à son point de départ;Un nœud sans arêtes;Une arête sans nœuds;Un chemin sans arêtes;A;
120;Quel est le degré d'un nœud dans un graphe?;Le nombre d'arêtes connectées à ce nœud;Le nombre de nœuds dans le graphe;La longueur du plus long chemin passant par ce nœud;La distance entre ce nœud et la racine;A;
123;Qu'est-ce qu'un graphe acyclique?;Un graphe sans cycles;Un graphe complet;Un graphe avec des boucles;Un graphe pondéré;A;
130;Comment appelle-t-on un graphe avec un nombre fini de nœuds et d'arêtes?;Graphe infini;Graphe fini;Graphe complet;Graphe acyclique;B;
131;Qu'est-ce qu'un bug en informatique?;Un petit programme;Une erreur ou un défaut dans un programme;Un type de variable;Une mise à jour logicielle;B;
140;Que signifie le terme "débogage"?;Ajouter de nouvelles fonctionnalités;Écrire de la documentation;Identifier et corriger des bugs;Optimiser le code;C;
242;Quel est le résultat de ce code Python ? x = 5 + 3 * 2;16;11;13;5;B;
244;Quel est le résultat de ce code Python ? x = (4 + 3) * 2 - 1;13;14;15;16;A;
245;Quel est le résultat de ce code Python ? x = 2 ** 3 + 1;9;10;11;12;A;
246;Quel est le résultat de ce code Python ? x = 10 // 3;3;4;5;6;A;
247;Quel est le résultat de ce code Python ? x = 27 % 5;2;3;4;5;A;
249;Quel est le résultat de ce code Python ? x = (18 - 4) // 5;2;3;4;5;A;
250;Quel est le résultat de ce code Python ? x = 7 % 4 + 2 ** 2;6;7;8;9;B;
251;Quel est le résultat de ce code Python ? x = True and False;True;False;Erreur;None;B;
252;Quel est le résultat de ce code Python ? x = not (True or False);True;False;Erreur;None;B;
253;Quel est le résultat de ce code Python ? x = True and not False;True;False;Erreur;None;A;
254;Quel est le résultat de ce code Python ? x = (False or False) and True;True;False;Erreur;None;B;
255;Quel est le résultat de ce code Python ? x = not True and False;True;False;Erreur;None;B;
256;Quel est le résultat de ce code Python ? x = not (False and True) or True;True;False;Erreur;None;A;
257;Quel est le résultat de ce code Python ? x = True or False and False;True;False;Erreur;None;A;
258;Quel est le résultat de ce code Python ? x = (not False) and (not True);True;False;Erreur;None;B;
259;Quel est le résultat de ce code Python ? x = not (True and not False);True;False;Erreur;None;B;
260;Quel est le résultat de ce code Python ? x = (True or True) and not False;True;False;Erreur;None;A;
131;Qu'est-ce que la programmation orientée objet (POO)?;Un paradigme de programmation basé sur les objets;Un type de base de données;Un langage de script;Un système d'exploitation;A;
132;Quel est le but principal de la POO?;Améliorer la performance;Faciliter la gestion et la réutilisation du code en utilisant des objets;Minimiser l'utilisation de la mémoire;Optimiser les algorithmes de tri;B;
133;Qu'est-ce qu'une classe en POO?;Un type de variable;Un modèle ou un plan pour créer des objets;Une fonction;Un type de boucle;B;
134;Qu'est-ce qu'un objet en POO?;Un morceau de code non réutilisable;Une instance d'une classe;Un algorithme;Une bibliothèque;B;
144;Qu'est-ce qu'une propriété en POO?;Une variable globale;Un attribut ou une donnée membre d'une classe;Une fonction locale;Un type de boucle;B;
158;Quelle est la différence entre une classe et une instance?;Une classe est un modèle, une instance est un objet créé à partir de ce modèle;Une classe est une fonction, une instance est une variable;Une classe est une boucle, une instance est une condition;Une classe est une méthode, une instance est une propriété;A;
131;Qu'est-ce qu'un processeur?;Unité centrale de traitement;Mémoire vive;Disque dur;Carte graphique;A;
134;Quel composant est responsable de l'exécution des instructions d'un programme?;Disque dur;Processeur;Mémoire cache;Carte mère;B;
135;Qu'est-ce qu'une carte mère?;Unité de stockage;Plateforme principale qui connecte tous les composants de l'ordinateur;Unité de traitement graphique;Dispositif d'entrée;B;
141;À quoi sert une unité d'alimentation (PSU)?;Fournir de l'énergie aux composants de l'ordinateur;Stocker des données;Traiter les graphiques;Connecter des périphériques;A;
142;Qu'est-ce qu'un port USB?;Interface pour connecter des périphériques;Type de mémoire;Unité de traitement graphique;Processeur;A;
144;Qu'est-ce qu'un octet?;4 bits;8 bits;16 bits;32 bits;B;
145;Qu'est-ce qu'un système d'exploitation?;Un logiciel qui gère les ressources matérielles et logicielles de l'ordinateur;Un périphérique d'entrée;Un type de processeur;Un composant de stockage;A;
147;Quelle est la fonction principale d'un disque dur?;Traiter les instructions;Stocker des données de manière permanente;Exécuter des applications;Connecter des périphériques;B;
156;Qu'est-ce que la latence en informatique?;Temps d'attente pour l'accès aux données;Quantité de données transférées;Vitesse du processeur;Capacité de stockage;A;
163;Qu'est-ce que l'Ethernet?;Type de processeur;Protocole de réseau pour la communication locale;Unité de mémoire;Unité de stockage;B;
201;Qu'est-ce qu'un réseau informatique ?;Un groupe d'ordinateurs connectés qui partagent des ressources et des informations;Un type de processeur;Un type de stockage;Un type de mémoire;A;
202;Qu'est-ce qu'un protocole réseau ?;Un ensemble de règles définissant comment les données sont transmises entre les périphériques sur un réseau;Un type de processeur;Un type de mémoire;Un type de stockage;A;
203;Qu'est-ce qu'une adresse IP ?;Un identifiant unique attribué à chaque appareil connecté à un réseau;Un type de processeur;Un type de mémoire;Un type de stockage;A;
220;Qu'est-ce que le Wi-Fi ?;Technologie sans fil permettant la connexion à un réseau local;Type de processeur;Type de mémoire;Type de stockage;A;
369;Quel type de contrainte SQL est utilisé pour empêcher des valeurs NULL dans une colonne ?;UNIQUE;CHECK;PRIMARY KEY;NOT NULL;D;
353;Dans SQL, quel mot-clé est utilisé pour trier les résultats d'une requête ?;ORDER;SORT;BY;ORDER BY;D;
