id;question;A;B;C;D;reponse
149;Qu'est-ce qu'un thread?;Unité d'exécution de base d'un processus;Unité de stockage;Unité de mémoire;Type de processeur;A;
151;Qu'est-ce qu'un registre en informatique?;Mémoire vive;Mémoire de haute vitesse utilisée par le processeur pour stocker des données temporaires;Unité de stockage;Unité d'entrée;B;
165;Quelle est la différence entre un port HDMI et un port VGA?;HDMI est numérique, VGA est analogique;VGA est numérique, HDMI est analogique;Les deux sont analogiques;Les deux sont numériques;A;
170;Quelle est la principale caractéristique d'un microprocesseur?;Taille réduite;Intégration de l'unité de contrôle, de l'ALU et des registres sur une seule puce;Mémoire de grande capacité;Capacité de stockage élevée;B;
175;Qu'est-ce qu'un RAID en informatique?;Réseau de stockage;Technique de sauvegarde des données;Technologie permettant de combiner plusieurs disques pour améliorer la performance ou la redondance;Type de mémoire;C;
180;Qu'est-ce qu'un bus de contrôle?;Chemin utilisé pour transférer des données;Chemin utilisé pour transférer des instructions;Chemin utilisé pour transporter des signaux de commande entre le processeur et d'autres composants;Unité de stockage;C;
183;Qu'est-ce qu'un registre de programme (PC)?;Stocke des données temporaires;Contient l'adresse de la prochaine instruction à exécuter par le processeur;Unité de mémoire;Unité de stockage;B;
188;Qu'est-ce que le throttling du processeur?;Augmentation de la vitesse du processeur;Réduction de la vitesse du processeur pour éviter la surchauffe;Amélioration des performances graphiques;Augmentation de la capacité de stockage;B;
190;Qu'est-ce qu'un buffer?;Zone de mémoire temporaire utilisée pour stocker des données en transit;Unité de stockage;Unité de traitement graphique;Unité de contrôle;A;
192;Qu'est-ce qu'une architecture ARM?;Architecture de processeur utilisée principalement dans les appareils mobiles;Type de mémoire;Type de stockage;Type de bus;A;
193;Qu'est-ce qu'un système embarqué?;Système informatique dédié à une tâche spécifique;Ordinateur de bureau;Serveur de stockage;Ordinateur portable;A;
209;Qu'est-ce qu'un client DHCP ?;Appareil ou logiciel qui demande une adresse IP au réseau lors de la connexion;Type de processeur;Type de mémoire;Type de stockage;A;
213;Qu'est-ce qu'un protocole FTP ?;Protocole utilisé pour transférer des fichiers sur un réseau;Type de processeur;Type de mémoire;Type de stockage;A;
221;Qu'est-ce qu'un SSID ?;Nom d'un réseau sans fil;Type de processeur;Type de mémoire;Type de stockage;A;
222;Qu'est-ce que le WPA2 ?;Protocole de sécurité sans fil utilisé pour protéger les réseaux Wi-Fi;Type de processeur;Type de mémoire;Type de stockage;A;

271;Quel est le résultat de ce code Python ? x = [i**2 for i in range(5) if i % 2 == 0];[0, 4, 16];[0, 4];[0, 4, 16, 36];[0, 16];A;
272;Quel est le résultat de ce code Python ? x = ''.join([chr(ord('a') + i) for i in range(0, 5)]);"abcde";"abcd";"bcde";"cdefg";A;
275;Quel est le résultat de ce code Python ? x = {i: i**2 for i in range(4)};{0: 0, 1: 1, 2: 4, 3: 9};{0: 1, 1: 4, 2: 9, 3: 16};{0: 0, 1: 2, 2: 4, 3: 6};{0: 0, 1: 1, 2: 8, 3: 27};A;
280;Quel est le résultat de ce code Python ? x = [i for i in range(10) if i % 2 == 0 and i % 3 == 0];[0, 3, 6];[0, 6];[0, 3];[6];B;

281;Quel est le résultat de ce code Python ? x = [i**2 for i in range(1, 6) if i % 2 != 0];[1, 9, 25];[1, 4, 9, 16, 25];[1, 9, 16, 25];[1, 4, 9, 25];A;
282;Quel est le résultat de ce code Python ? x = ''.join(chr(65 + i) for i in range(5) if i % 2 == 0);ACE;BCD;ACD;ABD;A;
283;Quel est le résultat de ce code Python ? x = [sum(range(i)) for i in range(1, 5)];[0, 1, 3, 6];[1, 3, 6, 10];[1, 2, 3, 4];[1, 4, 9, 16];B;
285;Quel est le résultat de ce code Python ? x = {i: i + 1 for i in range(3)};{0: 1, 1: 2, 2: 3};{1: 2, 2: 3, 3: 4};{0: 0, 1: 1, 2: 2};{1: 1, 2: 2, 3: 3};A;
287;Quel est le résultat de ce code Python ? x = [i for i in range(6) if i % 3 == 0];[0, 3];[3, 6];[0, 3, 6];[0, 3, 6, 9];C;
289;Quel est le résultat de ce code Python ? x = sum([i for i in range(5) if i % 2 == 0]);6;4;5;8;A;
290;Quel est le résultat de ce code Python ? x = ''.join(sorted('dcba'));abcd;dcba;bcda;acbd;A;
291;Quel est le résultat de ce code Python ? x = [i * j for i in range(3) for j in range(2)];[0, 0, 1, 2];[0, 0, 1, 1, 2, 2];[0, 0, 1, 2, 3, 4];[0, 1, 2, 3];B;
293;Quel est le résultat de ce code Python ? x = ''.join(reversed('abcd'));dcba;abcd;bacd;adcb;A;
294;Quel est le résultat de ce code Python ? x = [i - 1 for i in range(1, 6) if i % 2 == 0];[0, 1, 2, 3];[0, 2, 4];[1, 3];[1, 2, 3];C;
295;Quel est le résultat de ce code Python ? x = {i: i ** 2 for i in range(4) if i % 2 == 0};{0: 0, 2: 4};{0: 0, 1: 1, 2: 4};{1: 1, 2: 4};{0: 0, 2: 4, 3: 9};A;
314;Quelle est la complexité temporelle de l'opération push sur une pile ?;O(1);O(n);O(log n);O(n^2);A;
315;Quelle est la complexité temporelle de l'opération dequeue sur une file ?;O(1);O(n);O(log n);O(n^2);A;
332;Quelle machine est souvent appelée le premier ordinateur programmable ?;Z3;ENIAC;Colossus;ABC;A;
333;Quel était le principal objectif du projet ARPANET ?;Développer un ordinateur personnel;Créer un réseau de communication décentralisé;Développer des logiciels commerciaux;Construire des superordinateurs;B;
334;Qui a inventé le World Wide Web ?;Bill Gates;Steve Jobs;Tim Berners-Lee;Linus Torvalds;C;
335;Quel langage de programmation a été utilisé pour écrire le système d'exploitation Unix original ?;Fortran;Assembly;C;COBOL;B;
336;Quelle société a créé le premier microprocesseur ?;IBM;Intel;Microsoft;Apple;B;
338;Quel ordinateur est considéré comme le premier ordinateur personnel accessible au grand public ?;Apple II;IBM PC;Commodore 64;Altair 8800;D;
339;Quel est le premier langage de programmation de haut niveau à être inventé ?;C;Fortran;Lisp;COBOL;B;
341;Quel est le nom du premier algorithme connu, développé par Ada Lovelace ?;Algorithme de la machine analytique;Algorithme de la machine de Turing;Algorithme de l'ENIAC;Algorithme de la machine à différences;A;
343;Quel était le principal avantage du transistor par rapport au tube à vide dans les ordinateurs de la deuxième génération ?;Plus rapide;Moins cher;Consommait moins d'énergie et était plus fiable;Plus facile à programmer;C;
345;Quelle machine de cryptanalyse a été utilisée pour décrypter les messages allemands pendant la Seconde Guerre mondiale ?;ENIAC;Colossus;UNIVAC;Bombe de Turing;D;
346;Quel fut le premier ordinateur à utiliser une souris et une interface graphique ?;Xerox Alto;Apple Macintosh;IBM PC;Commodore PET;A;
364;Quelle est la commande SQL pour ajouter une nouvelle colonne à une table existante ?;ADD COLUMN;INSERT COLUMN;ALTER TABLE ADD;MODIFY TABLE;C;
