id;question;A;B;C;D;reponse
83;Quel parcours d'arbre visite les nœuds dans l'ordre racine-gauche-droit?;Parcours préfixe;Parcours infixe;Parcours suffixe;Parcours niveau par niveau;A;
84;Quel parcours d'arbre visite les nœuds dans l'ordre gauche-droit-racine?;Parcours préfixe;Parcours infixe;Parcours suffixe;Parcours niveau par niveau;C;
88;Qu'est-ce qu'un arbre binaire complet?;Un arbre où tous les niveaux sont complètement remplis sauf peut-être le dernier;Un arbre où chaque nœud a exactement deux enfants;Un arbre où chaque nœud a exactement trois enfants;Un arbre où tous les nœuds sont au même niveau;A;
91;Comment appelle-t-on un arbre binaire où chaque nœud interne a exactement deux enfants et toutes les feuilles sont au même niveau?;Arbre complet;Arbre parfait;Arbre AVL;Arbre binaire de recherche;B;
92;Dans un arbre binaire de recherche, quel type de parcours fournit les éléments triés en ordre croissant?;Parcours préfixe;Parcours infixe;Parcours suffixe;Parcours niveau par niveau;B;
94;Quel est le principal inconvénient des arbres binaires non équilibrés?;Complexité d'implémentation;Temps de recherche potentiellement élevé;Difficulté d'insertion de nouveaux nœuds;Incompatibilité avec les structures de données modernes;B;
97;Dans un arbre binaire, comment appelle-t-on le chemin du nœud racine à un nœud donné?;Hauteur;Niveau;Profondeur;Chemin;D;
99;Dans quel cas un arbre binaire est-il appelé dégénéré?;Lorsque chaque nœud n'a qu'un seul enfant;Lorsque chaque nœud a deux enfants;Lorsque tous les nœuds sont des feuilles;Lorsque l'arbre est équilibré;A;
100;Quelle est la hauteur d'un arbre binaire avec un seul nœud?;0;1;2;3;A;
106;Quel algorithme est utilisé pour trouver le plus court chemin dans un graphe pondéré?;Algorithme de Kruskal;Algorithme de Dijkstra;Algorithme de Prim;Algorithme de Bellman-Ford;B;
108;Dans un graphe, qu'est-ce qu'une boucle?;Une arête qui relie un nœud à lui-même;Un chemin qui revient à son point de départ;Une arête entre deux nœuds;Un ensemble de nœuds connectés;A;
112;Qu'est-ce qu'un graphe connexe?;Un graphe où tous les nœuds sont connectés par des chemins;Un graphe sans arêtes;Un graphe avec des arêtes unidirectionnelles;Un graphe avec des boucles;A;
121;Comment appelle-t-on une représentation d'un graphe à l'aide d'une matrice où chaque entrée indique la présence d'une arête?;Liste d'adjacence;Matrice d'adjacence;Liste de nœuds;Matrice de distance;B;
122;Qu'est-ce qu'une liste d'adjacence dans un graphe?;Une liste où chaque nœud est associé à une liste de ses nœuds adjacents;Une matrice où chaque entrée indique la présence d'une arête;Un tableau de nœuds;Un tableau de distances;A;
128;Quel est le principal avantage d'utiliser des graphes pour modéliser des réseaux?;Simplicité d'implémentation;Capacité à représenter des relations complexes;Meilleure performance;Réduction de la complexité;B;
129;Dans un graphe orienté, que représente une arête?;Une connexion unidirectionnelle entre deux nœuds;Une connexion bidirectionnelle entre deux nœuds;Un nœud sans connexions;Un ensemble de nœuds;A;
148;Qu'est-ce qu'un patch?;Un nouveau logiciel;Une mise à jour logicielle qui corrige des bugs;Un type de bug;Un outil de gestion de versions;B;
140;Quel est le rôle d'un constructeur en POO?;Détruire des objets;Initialiser un nouvel objet;Hériter des propriétés;Redéfinir des méthodes;B;
147;Pourquoi utiliser des getters et des setters en POO?;Pour accéder directement aux variables;Pour encapsuler l'accès aux propriétés d'un objet et contrôler les modifications;Pour optimiser le code;Pour hériter des classes;B;
132;Quelle est la fonction principale de la RAM?;Stockage permanent;Stockage temporaire des données en cours d'utilisation;Traitement des instructions;Connexion réseau;B;
133;Qu'est-ce qu'un bus en informatique?;Un système de transport public;Un circuit qui transfère des données entre les composants;Un type de mémoire;Un type de processeur;B;
137;Qu'est-ce qu'un disque SSD?;Disque à état solide pour un stockage plus rapide;Unité centrale de traitement;Mémoire vive;Carte graphique;A;
138;Quelle est la différence principale entre ROM et RAM?;ROM est volatile, RAM est non volatile;ROM est non volatile, RAM est volatile;Les deux sont non volatiles;Les deux sont volatiles;B;
139;Quel est le rôle du BIOS?;Exécuter des applications;Initialiser le matériel au démarrage;Gérer les fichiers;Contrôler l'affichage;B;
146;Qu'est-ce qu'un cycle d'horloge?;Durée d'une instruction;Unité de temps de base pour la synchronisation des opérations dans le processeur;Stockage des données;Transfert des données;B;
148;Qu'est-ce qu'un noyau (kernel)?;Unité de traitement graphique;Partie centrale du système d'exploitation qui gère les ressources;Type de mémoire;Type de bus;B;
150;Qu'est-ce qu'une architecture multi-cœur?;Processeur avec plusieurs unités de traitement indépendantes;Mémoire avec plusieurs segments;Bus avec plusieurs canaux;Disque dur avec plusieurs partitions;A;
153;Quel est le rôle de l'ALU (Arithmetic Logic Unit)?;Gérer la mémoire;Effectuer des calculs arithmétiques et logiques;Contrôler les périphériques;Stocker des données;B;
159;Qu'est-ce qu'un bus de données?;Chemin utilisé pour transférer des données entre les composants de l'ordinateur;Unité de traitement graphique;Type de mémoire;Type de processeur;A;
162;Quelle est la fonction principale du BIOS?;Initialiser le matériel de l'ordinateur au démarrage;Exécuter des applications;Stocker des fichiers;Gérer les connexions réseau;A;
176;Qu'est-ce que l'USB-C?;Type de mémoire;Type de processeur;Type de port de connexion universel;Type de bus;C;
181;Qu'est-ce qu'un réseau local (LAN)?;Réseau couvrant une grande zone géographique;Réseau à faible portée et haute vitesse utilisé dans une zone géographique limitée, comme un bâtiment;Type de processeur;Type de mémoire;B;
184;Qu'est-ce qu'un adressage mémoire?;Assignation d'adresses uniques à chaque octet de mémoire pour un accès facile;Exécution de programmes;Stockage de données;Traitement des graphiques;A;
185;Qu'est-ce qu'un cycle d'instruction?;Temps d'une opération arithmétique;Processus complet d'exécution d'une instruction par le processeur, y compris la récupération, le décodage et l'exécution;Stockage de données;Transfert de données;B;
204;Quelle est la fonction principale d'un routeur ?;Diriger le trafic réseau entre différents réseaux;Stocker des données;Exécuter des programmes;Contrôler les périphériques;A;
205;Qu'est-ce qu'un pare-feu ?;Un dispositif de sécurité qui contrôle le trafic réseau entrant et sortant;Un type de processeur;Un type de mémoire;Un type de stockage;A;
206;Qu'est-ce qu'un commutateur réseau ?;Un appareil qui relie plusieurs appareils sur un réseau local et permet la communication entre eux;Un type de processeur;Un type de mémoire;Un type de stockage;A;
207;Quelle est la fonction principale d'un serveur DNS ?;Traduire les noms de domaine en adresses IP;Stocker des données;Traiter des instructions;Contrôler les périphériques;A;
208;Qu'est-ce qu'une passerelle par défaut ?;Adresse IP du serveur DNS;Adresse IP du routeur utilisée par un appareil pour atteindre des destinations en dehors de son réseau local;Type de processeur;Type de mémoire;B;
210;Qu'est-ce qu'un réseau local (LAN) ?;Réseau informatique limité à une petite zone géographique, comme un foyer ou un bureau;Réseau informatique limité à une machine;Type de mémoire;Réseau informatique couvrant une grande zone géographique;A;
211;Qu'est-ce qu'un réseau étendu (WAN) ?;Réseau informatique couvrant une grande zone géographique, souvent plusieurs villes ou pays;Réseau informatique limité à une machine;Type de mémoire;Réseau informatique limité à une petite zone géographique;A;
212;Qu'est-ce qu'un protocole HTTP ?;Protocole utilisé pour transférer des données sur le World Wide Web;Type de processeur;Type de mémoire;Type de stockage;A;
214;Qu'est-ce qu'une adresse MAC ?;Identifiant unique attribué à chaque carte réseau;Type de processeur;Type de mémoire;Type de stockage;A;
219;Qu'est-ce qu'un modem ?;Appareil permettant la connexion à Internet via un fournisseur de services;Type de processeur;Un commutateur;Type de stockage;A;
223;Qu'est-ce que le VPN ?;Réseau privé virtuel permettant de sécuriser les communications sur un réseau public comme Internet;Un réseau informatique privé;Un pare-feu;Un outil commercial;A;
306;Quelle est la principale caractéristique d'une pile (stack) ?;Accès aléatoire;Premier entré, premier sorti (FIFO);Dernier entré, premier sorti (LIFO);Tri automatique;C;
307;Quelle est la principale caractéristique d'une file (queue) ?;Accès aléatoire;Premier entré, premier sorti (FIFO);Dernier entré, premier sorti (LIFO);Tri automatique;B;
308;Quelle opération permet d'ajouter un élément au sommet d'une pile ?;Enqueue;Push;Pop;Dequeue;B;
309;Quelle opération permet de retirer un élément du sommet d'une pile ?;Enqueue;Push;Pop;Dequeue;C;
312;Quelle structure de données est souvent utilisée pour implémenter des algorithmes de parcours en profondeur (DFS) ?;File;Pile;Table de hachage;Arbre;B;
313;Quelle structure de données est souvent utilisée pour implémenter des algorithmes de parcours en largeur (BFS) ?;File;Pile;Table de hachage;Arbre;A;
316;Dans quel ordre les éléments sont-ils traités dans une pile ?;Ordre aléatoire;Ordre inverse d'ajout;Ordre d'ajout;Ordre de priorité;B;
317;Dans quel ordre les éléments sont-ils traités dans une file ?;Ordre aléatoire;Ordre inverse d'ajout;Ordre d'ajout;Ordre de priorité;C;
320;Quel est l'inconvénient principal d'une file par rapport à une liste ?;Complexité d'ajout;Accès uniquement séquentiel;Accès uniquement au début et à la fin;Complexité de retrait;B;
337;Quel est le nom de la première femme programmeuse de l'histoire ?;Ada Lovelace;Grace Hopper;Margaret Hamilton;Jean Bartik;A;
340;Qui a développé le concept de l'architecture de von Neumann ?;Alan Turing;John von Neumann;Charles Babbage;Claude Shannon;B;
354;Quelle clause SQL est utilisée pour filtrer les groupes de résultats créés par la clause GROUP BY ?;HAVING;WHERE;FILTER;GROUP BY;A;
357;Quel type de clé est utilisée pour garantir l'unicité des enregistrements dans une table ?;Clé étrangère;Clé primaire;Clé unique;Clé de substitution;B;
359;Quelle commande SQL est utilisée pour modifier les données existantes dans une table ?;MODIFY;CHANGE;UPDATE;ALTER;C;
361;Quelle est la fonction SQL pour retourner le nombre de lignes dans une table ?;COUNT();SUM();NUMBER();TOTAL();A;
356;Quelle est la commande SQL pour supprimer une table existante ?;REMOVE TABLE;DELETE TABLE;DROP TABLE;TRUNCATE TABLE;C;7
362;Quel mot-clé SQL est utilisé pour renommer une colonne dans le résultat d'une requête ?;RENAME;CHANGE;AS;ALIAS;C;
363;Quelle clause SQL est utilisée pour regrouper les résultats d'une requête par une ou plusieurs colonnes ?;GROUP;GROUP BY;ORDER BY;PARTITION BY;B;
352;Quel mot-clé SQL est utilisé pour supprimer les doublons dans les résultats d'une requête ?;UNIQUE;DISTINCT;DELETE;REMOVE;B;
